RANK	URL	PAGESPEED	YSLOW	ONLOAD	FULLY LOADED	REQUESTS	TOTAL SIZE
262	http://www.ups.com/	70%	61%	3.6s	4.8s	70	1.45MB
263	http://www.wp.pl/	43%	54%	17.9s	17.9s	329	7.21MB
264	http://www.docin.com/	63%	67%	6.6s	25.3s	79	874KB
265	http://www.pdfqueen.com/	93%	78%	1.1s	1.1s	20	263KB
266	http://www.dangdang.com/	79%	66%	97.1s	97.1s	102	1.70MB
267	http://www.focus.cn/	38%	46%	8.9s	9.7s	156	3.85MB
268	http://www.nextag.com/	87%	70%	1.5s	1.9s	35	1.94MB
269	http://www.ziddu.com/	56%	58%	3.9s	3.9s	54	1.57MB
270	http://www.hubpages.com/	72%	91%	4.7s	4.9s	99	842KB
271	http://www.kioskea.net/	38%	52%	17.9s	37.6s	466	3.63MB
272	http://www.babylon.com/	89%	74%	1.4s	1.4s	19	686KB
273	http://www.last.fm/	56%	48%	7.7s	11.5s	192	3.49MB
274	http://www.wellsfargo.com/	67%	74%	4.1s	6.6s	67	0.96MB
275	http://www.gmx.net/	50%	36%	16.8s	17.0s	335	2.36MB
276	http://www.friendster.com/	97%	97%	1.5s	1.5s	2	140KB
277	http://www.wsj.com/	50%	42%	20.7s	30.9s	287	5.39MB
278	http://www.slideshare.net/	91%	86%	4.9s	5.8s	42	672KB
279	http://www.foxnews.com/	30%	48%	14.4s	19.6s	401	3.29MB
280	http://www.ganji.com/	83%	67%	5.0s	5.2s	73	857KB
281	http://www.iza.ne.jp/	37%	44%	14.5s	14.8s	307	2.10MB
282	http://www.51.com/	53%	59%	6.8s	7.6s	160	4.14MB
283	http://www.metrolyrics.com/	39%	62%	1.6s	19.2s	514	2.39MB
284	http://www.yesky.com/	63%	66%	5.4s	6.2s	112	1.56MB
285	http://www.usps.com/	87%	69%	4.9s	6.2s	95	2.53MB
286	http://www.alisoft.com/	83%	70%	5.1s	7.3s	57	687KB
287	http://www.mainichi.jp/	32%	41%	15.3s	17.1s	430	4.09MB
288	http://www.irs.gov/	77%	74%	3.1s	13.1s	53	1.35MB
289	http://www.bigpoint.com/	80%	70%	5.5s	21.5s	89	2.59MB
290	http://www.china.com.cn/	42%	46%	11.5s	13.4s	188	6.39MB
291	http://www.iciba.com/	71%	52%	15.2s	18.3s	71	883KB
292	http://www.hulu.com/	59%	54%	5.9s	8.7s	136	3.65MB
293	http://www.gmarket.co.kr/	64%	62%	4.7s	24.8s	139	1.26MB
294	http://www.tabelog.com/	69%	59%	6.1s	6.1s	120	1.95MB
295	http://www.gamespot.com/	36%	51%	5.9s	25.2s	447	2.73MB
296	http://www.symantec.com/	50%	44%	7.3s	8.7s	213	1.28MB
297	http://www.nokia.com/	66%	51%	3.8s	5.3s	116	2.30MB
298	http://www.pcpop.com/	66%	79%	3.8s	12.1s	34	813KB
299	http://www.dion.ne.jp/	56%	39%	10.4s	29.7s	179	2.16MB
300	http://www.torrentz.com/	100%	98%	0.8s	0.8s	4	8.29KB
301	http://www.pptv.com/	59%	60%	6.3s	7.2s	167	2.08MB
302	http://www.telegraph.co.uk/	21%	34%	9.9s	30.2s	625	5.44MB
303	http://www.duowan.com/	63%	49%	6.5s	8.8s	202	3.26MB
304	http://www.joins.com/	62%	57%	6.5s	6.5s	168	8.12MB
305	http://www.wordreference.com/	96%	87%	0.5s	0.5s	7	35.9KB
306	http://www.peeplo.com/	85%	71%	4.3s		31	607KB
307	http://www.ign.com/	24%	47%	18.3s	38.7s	749	5.24MB
308	http://www.huanqiu.com/	20%	54%	12.0s	14.4s	137	8.54MB
309	http://www.aweber.com/	81%	63%	3.5s	9.2s	87	1.61MB
310	http://www.guardian.co.uk/	37%	49%	18.5s	37.2s	397	4.09MB
311	http://www.samsung.com/	67%	58%	3.1s	5.5s	107	1.61MB
312	http://www.skyrock.com/	48%	63%	5.7s	23.8s	196	1.72MB
313	http://www.sun.com/	72%	62%	4.0s	5.3s	57	831KB
314	http://www.the2009.cn/	66%	81%	8.9s		23	124KB
315	http://www.musica.com/	65%	52%	5.0s	6.4s	112	1.08MB
316	http://www.icq.com/	60%	76%	5.1s	5.2s	13	1.53MB
317	http://www.allegro.pl/	55%	48%	9.1s	10.5s	197	2.43MB
318	http://www.virgilio.it/	33%	46%	16.0s	36.1s	527	5.31MB
319	http://www.nhk.or.jp/	40%	59%	5.3s	5.3s	130	3.34MB
320	http://www.linekong.com/	85%	65%	5.6s	11.3s	54	2.68MB
321	http://www.hudong.com/	84%	79%	3.7s	5.0s	35	473KB
322	http://www.comcast.com/	61%	72%	3.7s	10.7s	185	2.17MB
323	http://www.pcauto.com.cn/	52%	64%	7.4s	9.8s	132	2.01MB
324	http://www.sponichi.co.jp/	26%	40%	14.9s	15.5s	355	2.64MB
325	http://www.isohunt.com/	82%	71%	3.3s	4.3s	33	0.98MB
326	http://www.springerlink.com/	75%	64%	3.5s	18.4s	61	910KB
327	http://www.traviangames.com/	76%	80%	6.5s	6.5s	48	6.84MB
328	http://www.zimbio.com/	35%	53%	10.0s	27.1s	461	5.18MB
329	http://www.robtex.com/	55%	53%	5.7s	25.2s	225	1.41MB
330	http://www.wretch.cc/	44%	35%	15.4s	21.6s	455	3.39MB
331	http://www.japanpost.jp/	61%	66%	4.5s	4.9s	114	2.40MB
332	http://www.onlinedown.net/	50%	50%	6.6s	9.2s	70	1.28MB
333	http://www.godaddy.com/	65%	91%	1.9s	11.9s	185	1.28MB
334	http://www.vimeo.com/	54%	43%	9.4s	17.5s	305	5.63MB
335	http://www.qidian.com/	75%	60%	6.8s	8.2s	91	1.72MB
336	http://www.mapion.co.jp/	51%	47%	11.0s	13.0s	306	2.02MB
337	http://www.washingtonpost.com/	27%	53%	5.5s	24.8s	371	2.85MB
338	http://www.118114.cn/	63%	62%	8.3s	8.6s	38	1.35MB
339	http://www.ieaddons.com/	83%	77%	10.2s		66	688KB
340	http://www.rockyou.com/	81%	64%	5.1s	5.8s	131	2.59MB
341	http://www.wikimapia.org/	80%	65%	6.1s	10.0s	110	1.94MB
342	http://www.jiayuan.com/	51%	59%	5.3s	5.3s	104	2.23MB
343	http://www.sanspo.com/	27%	42%	20.1s	24.1s	445	2.57MB
344	http://www.whitepages.com/	59%	54%	5.9s	6.2s	143	859KB
345	http://www.yelp.com/	65%	81%	5.6s	5.6s	104	1.55MB
346	http://www.real.com/	95%	96%	0.7s	1.6s	41	629KB
347	http://www.bizrate.com/	56%	46%	5.7s	13.7s	162	1.79MB
348	http://www.formspring.me/	83%	97%	3.6s	3.6s	12	414KB
349	http://www.amazon.cn/	61%	65%	7.3s	10.6s	167	2.54MB
350	http://www.hc360.com/	56%	58%	11.1s	12.4s	389	5.90MB
351	http://www.17173.com/	60%	68%	17.2s	19.7s	178	2.16MB
352	http://www.ineedfile.com/	92%	78%	1.6s	1.7s	23	277KB
353	http://www.360buy.com/	52%	67%	6.8s	9.1s	77	2.03MB
354	http://www.8684.cn/	62%	51%	12.0s	30.5s	129	0.96MB
355	http://www.pplive.com/	59%	60%	6.4s	7.2s	168	2.08MB
356	http://www.over-blog.com/	27%	51%	10.4s	11.8s	269	4.64MB
357	http://www.baixaki.com.br/	36%	48%	40.6s	52.7s	670	4.56MB
358	http://www.beemp3.com/	96%	86%	2.4s	2.6s	18	614KB
359	http://www.cnzz.com/	56%	58%	6.6s	9.2s	164	3.14MB
360	http://www.usatoday.com/	30%	47%	17.0s	35.0s	560	4.24MB
